,db_count,db_score,im_count,im_score,name,roi,roi_count
692,1,5.87229565017,1,4.68742747947,Chris Roberts,0.385869566667,1
693,1,6.47558381196,2,7.12622259052,Jee-woon Kim,0.140053966667,2
694,1,5.36955551534,1,5.30821168955,Nick Hamm,0.5733858,1
695,1,6.17393973107,1,6.46109665114,Andy Cadiff,0.529978869565,1
696,1,5.36955551534,1,5.30821168955,Mike Disa,0.337825133333,1
697,1,8.78818843219,4,8.56732879251,Sergio Leone,7.58666666667,3
698,2,6.375035785,2,7.52529815415,Niels Arden Oplev,0.362697533333,1
699,2,7.53133809511,2,7.08188086123,Michael Radford,0.208484722222,1
700,1,5.97284367713,2,4.55440229159,Steve Boyum,0.179540875,1
701,1,8.78818843219,1,6.01767935822,Kaige Chen,0.0111361833333,1
702,1,4.76626735354,1,5.30821168955,Corey Yuen,0.0228720952381,1
703,2,6.375035785,2,7.12622259052,Andrew Dominik,0.563035366667,2
704,2,6.12366571758,2,5.84031244106,Elizabeth Banks,3.89842712356,2
705,1,6.57613183893,1,6.7271470269,Edward Norton,1.2345468,1
706,2,5.26900748837,2,5.5742620653,Ben Falcone,3.19975999569,2
707,4,8.05921523668,4,7.7913485299,Richard Attenborough,1.11064126445,3
708,1,6.0733917041,1,5.39689514814,Don Mancini,1.41801583333,1
709,1,6.9783239468,1,7.34793123698,John Maybury,0.21728037931,1
710,1,7.78270816253,1,6.28372973398,Igor Kovalyov,4.18715345833,1
711,4,6.19907673781,5,6.74488371861,Miguel Arteta,2.56140155298,4
712,4,6.65154285916,4,7.03753913194,James Gray,0.445837725446,4
713,1,5.26900748837,1,5.30821168955,Janusz Kaminski,0.599272714286,1
714,1,6.47558381196,1,6.81583048548,Robert B. Weide,0.102799740741,1
715,3,6.50909982095,3,6.69758587403,Jeff Wadlow,4.10384252143,3
716,2,6.0733917041,2,5.84031244106,Camille Delamarre,0.682798712857,2
717,4,8.03407822994,4,8.14608236424,David Lean,5.3183030303,4
718,2,7.63188612208,2,7.48095642486,Richard Eyre,0.70108769697,2
719,2,7.27996802769,2,7.65832334203,Nicholas Meyer,4.8345135697,2
720,2,6.6766798659,2,6.28372973398,Callie Khouri,1.75838613552,2
721,2,6.17393973107,2,6.41675492185,Todd Graff,0.748536915,2
722,2,7.33024204118,2,7.8356902592,Philip Kaufman,0.659662074074,2
723,1,6.57613183893,1,7.17056431982,Saul Dibb,1.02398081481,1
724,11,7.39879751411,11,7.54948455195,Richard Linklater,6.64542021056,11
725,2,6.52585782545,2,6.7271470269,E. Elias Merhige,0.678782340278,2
726,1,7.38051605466,1,7.08188086123,Menno Meyjes,0.277292814815,1
727,3,6.71019587489,3,6.96363624979,Jodie Foster,0.813459918871,3
728,1,5.97284367713,1,6.81583048548,Scott Frank,0.927763035714,1
729,1,5.87229565017,2,5.84031244106,Kevin Allen,0.469790605769,2
730,1,7.07887197376,1,6.37241319256,Michael Cristofer,0.386970595238,1
731,1,5.7717476232,1,4.86479439663,Andrew Morahan,0.531912846154,1
732,2,5.92256966365,2,6.6828052976,Bob Rafelson,0.0488767272727,1
733,1,7.48106408163,1,5.66294552389,Alan Shapiro,0.785261065413,1
734,3,7.51458009062,3,7.7913485299,Fernando Meirelles,1.55085527717,3
735,3,7.14590399174,3,7.14100316695,Michael Hoffman,0.88768224359,3
736,6,6.25772975354,6,6.5349995333,Michael Winterbottom,0.216367679945,5
737,1,6.375035785,1,6.37241319256,Michael Pressman,3.14627252,1
738,1,7.17942000073,1,6.99319740265,Sharon Maguire,2.75002138462,1
739,3,6.54261582994,3,6.54978010973,Charles Herman-Wurmfeld,3.17981072941,3
740,1,7.48106408163,1,7.43661469557,Gabor Csupo,4.83730229412,1
741,8,6.14880272432,9,5.39689514814,Tyler Perry,4.43003582991,6
742,3,6.30800376702,3,7.17056431982,Joe Carnahan,1.85073400993,3
743,2,6.0733917041,2,5.88465417035,John Polson,2.53185867451,2
744,2,7.78270816253,2,8.10174063495,Bernardo Bertolucci,1.91235782609,1
745,1,6.6766798659,1,5.66294552389,Cathy Malkasian,1.59521904,1
746,1,6.77722789286,1,6.01767935822,John Eng,1.57599,1
747,1,6.17393973107,1,6.90451394406,Chris Nahon,1.47333892,1
748,2,5.62092558275,2,5.84031244106,Fred Wolf,1.128831705,2
749,4,5.59578857601,4,5.59643292995,Bille Woodruff,2.20572533333,3
750,3,6.50909982095,3,6.66802472117,Victor Salva,1.97327397451,3
751,1,5.97284367713,1,6.01767935822,Mark Helfrich,1.40002516,1
752,1,7.48106408163,1,6.63846356831,Steve Bendelack,1.3021284,1
753,2,5.87229565017,2,5.70728725318,Dwight H. Little,2.40732786,2
754,2,7.53133809511,2,7.08188086123,Guillaume Canet,0.00448165176471,2
755,1,7.98380421646,1,7.70266507132,Kirsten Sheridan,1.0551697,1
756,4,6.70181687264,4,6.70497616225,Richard Fleischer,1.02333333333,2
757,1,5.67119959624,1,3.97795981079,Bob Spiers,1.1698962,1
758,1,4.96736340747,1,4.15532672796,Damien Dante Wayans,1.02463168,1
759,2,6.87777591983,2,7.21490604911,John Wells,1.09603645,2
760,2,7.58161210859,2,7.17056431982,Nigel Cole,0.439957372222,2
761,1,7.68216013556,1,7.70266507132,Dexter Fletcher,0.686331826087,1
762,1,7.78270816253,1,7.08188086123,Jeremy Leven,0.888,1
763,2,6.47558381196,2,6.19504627539,Sylvain White,2.66185270714,2
764,1,5.1684594614,1,6.01767935822,Troy Nixey,0.9616996,1
765,1,5.97284367713,1,6.63846356831,Philip G. Atwell,0.89867976,1
766,1,6.77722789286,1,6.90451394406,Jeff Schaffer,0.70872892,1
767,2,5.26900748837,2,3.97795981079,Don Michael Paul,0.997564631868,2
768,1,5.67119959624,1,6.01767935822,James Bridges,0.64472308,1
769,1,6.87777591983,1,5.75162898247,Steve Barron,0.60366168,1
770,2,7.07887197376,2,7.61398161274,Bill Paxton,1.19125709091,1
771,3,5.90581165916,3,6.7271470269,Richard Kelly,0.372730019063,3
772,1,6.0733917041,1,6.28372973398,Carter Smith,2.17849075,1
773,3,6.81074390185,3,6.57934126259,John Schlesinger,1.62832144,2
774,1,5.7717476232,1,5.84031244106,Ringo Lam,0.56381212,1
775,2,5.72147360972,2,5.52992033601,Bruce McCulloch,1.37336281857,2
776,2,6.92804993331,3,7.28880893126,Patricia Riggen,2.60722476923,2
777,1,6.87777591983,1,6.7271470269,Jonathan Kaplan,0.4045726,1
778,1,5.4701035423,1,6.28372973398,Ole Bornedal,3.50873707143,1
779,3,5.90581165916,3,5.24908938383,Richard Benjamin,0.392611066667,3
780,2,7.07887197376,2,5.97333762893,Craig R. Baxley,1.72005545378,2
781,3,6.47558381196,3,7.2592477784,John Hillcoat,0.52799181,3
782,1,5.97284367713,1,4.68742747947,Marcos Siega,0.22619108,1
783,2,6.32476177152,2,5.52992033601,Rachel Talalay,2.13259801294,2
784,1,5.57065156927,1,4.68742747947,Jeffrey W. Byrd,0.267127066667,1
785,6,6.9615659423,6,7.15578374338,Atom Egoyan,0.935460551818,4
786,1,7.58161210859,1,7.43661469557,Robert Towne,0.03109692,1
787,2,6.87777591983,2,7.2592477784,Werner Herzog,0.31666765,2
788,3,7.17942000073,3,6.90451394406,Leonard Nimoy,8.04515249084,3
789,1,6.77722789286,1,6.81583048548,Herbert Ross,9.75609756098,1
790,1,5.97284367713,1,7.17056431982,Bonnie Hunt,1.360929125,1
791,3,6.50909982095,3,6.8749527912,Neil LaBute,39.0327403561,3
792,1,6.27448775803,1,6.54978010973,Grant Heslov,1.29664436,1
793,1,5.87229565017,2,6.32807146327,George Gallo,0.371086208333,2
794,6,7.53133809511,6,7.42183411914,Sidney Lumet,1.0046751875,4
795,3,6.74371188387,3,6.7271470269,Douglas McGrath,0.207037507265,3
796,2,6.9783239468,2,6.7271470269,Kevin Spacey,0.16621353913,2
797,1,8.08435224342,1,7.43661469557,Richard Williams,0.0239027142857,1
798,1,6.375035785,1,5.5742620653,Mary McGuckian,0.00178666666667,1
799,2,6.17393973107,2,6.6828052976,Tony Goldwyn,0.763661743789,2
800,1,4.26352721871,1,5.84031244106,Jonathan Newman,0.00019024,1
801,1,5.1684594614,1,6.01767935822,Michael Dinner,0.566054478261,1
802,1,5.36955551534,1,3.53454251787,Joseph Sargent,0.902739695652,1
803,1,7.38051605466,1,6.99319740265,Jerry Zaks,0.555761217391,1
804,1,6.47558381196,1,5.5742620653,Fred Durst,0.500366217391,1
805,2,7.02859796028,2,6.77148875619,Anne Fontaine,0.167117438803,2
806,5,6.93810473601,5,6.97546071093,Mira Nair,1.07767245671,4
807,6,7.12914598724,6,7.43661469557,Mel Brooks,26.1540798039,3
808,1,6.375035785,1,7.34793123698,Russell Crowe,0.186245777778,1
809,2,7.22969401421,2,6.94885567336,Jessie Nelson,1.68832040775,2
810,1,7.68216013556,1,6.01767935822,Christopher Spencer,2.71346254545,1
811,1,5.87229565017,1,5.13084477239,Mike Bigelow,1.01202213636,1
812,1,6.17393973107,1,6.19504627539,Daniel Sackheim,0.598381033333,1
813,2,5.87229565017,2,6.28372973398,Harry Elfont,1.59088380455,2
814,2,7.12914598724,2,6.86017221477,Uli Edel,0.319997386364,2
815,1,6.375035785,1,4.5100605623,Fred Dekker,0.45515787234,1
816,2,4.16297919174,3,4.74654978519,Brian Trenchard-Smith,0.136148068182,2
817,2,6.62640585241,2,6.94885567336,Blake Edwards,0.2,1
818,1,8.18490027039,1,7.96871544707,Christian Carion,0.0477475,1
819,1,5.7717476232,1,6.46109665114,David Palmer,6.873275,1
820,2,6.52585782545,2,6.37241319256,Rowan Joffe,0.134682363636,1
821,2,6.6766798659,2,6.77148875619,John Curran,0.248233417994,2
822,1,5.97284367713,2,7.65832334203,Juan José Campanella,10.083712,1
823,3,7.11238798275,3,7.31837008412,Trey Parker,1.38370120317,3
824,1,5.57065156927,1,5.13084477239,Katt Shea,0.845575571429,1
825,1,6.9783239468,1,6.46109665114,Joshua Michael Stern,0.775445714286,1
826,1,7.58161210859,1,7.34793123698,Tomas Alfredson,1.20520565,1
827,1,6.9783239468,1,6.19504627539,John Duigan,0.000742523809524,1
828,1,6.17393973107,1,5.21952823097,Jim Sonzero,1.01296485,1
829,1,6.0733917041,1,7.2592477784,Penelope Spheeris,6.0848675,1
830,4,7.20455700747,4,7.12622259052,Jeff Tremaine,8.50446076111,3
831,2,6.77722789286,2,6.81583048548,Jeannot Szwarc,5.1461188,1
832,2,7.22969401421,2,7.88003198849,Steve McQueen,1.72441244231,2
833,1,7.17942000073,1,7.7913485299,Thea Sharrock,2.8077047,1
834,2,5.87229565017,2,6.63846356831,Jon Lucas,2.37406209808,2
835,1,4.76626735354,1,3.44585905929,Aaron Seltzer,2.4273289,1
836,1,7.38051605466,1,6.19504627539,Robin Budd,2.4211684,1
837,2,6.62640585241,2,7.2592477784,Ava DuVernay,1.496725,2
838,1,6.57613183893,1,5.84031244106,Steve Trenbirth,2.39439715,1
839,1,6.375035785,1,6.28372973398,Mennan Yapo,2.3926302,1
840,1,7.88325618949,1,6.63846356831,Jun Falkenstein,1.5180807,1
841,2,8.08435224342,2,8.05739890565,Tom McCarthy,6.8640805,2
842,2,5.92256966365,2,5.88465417035,Takashi Shimizu,6.487389525,2
843,3,6.77722789286,3,7.20012547268,Anton Corbijn,1.04088157593,3
844,1,6.87777591983,1,6.99319740265,Gregory Nava,1.7711414,1
845,1,7.27996802769,1,7.70266507132,John Patrick Shanley,1.6711278,1
846,2,6.22421374455,2,5.92899589964,Steve Beck,1.47640351429,2
847,1,6.17393973107,1,6.63846356831,Todd Strauss-Schulson,1.84388205263,1
848,1,6.6766798659,1,6.81583048548,John McNaughton,1.4876972,1
849,2,5.7717476232,2,5.26386996026,Nelson McCormick,2.19090795,1
850,2,4.66571932657,2,4.5100605623,Eric Valette,0.995427,1
851,4,5.97284367713,4,6.50543838044,Andrew Fleming,0.990131947115,4
852,1,6.47558381196,1,6.81583048548,Michael Spierig,1.49879895,1
853,1,6.27448775803,1,6.7271470269,Jim Field Smith,1.5792361,1
854,2,6.32476177152,2,6.41675492185,Thomas Bezucha,0.757769604412,2
855,3,5.67119959624,3,5.5742620653,William Brent Bell,19.796242163,3
856,1,6.0733917041,1,5.75162898247,Anthony Bell,1.25389885,1
857,3,5.80526363219,3,6.22460742825,Henry Joost,11.0074586667,3
858,2,6.92804993331,2,7.17056431982,Ed Harris,1.432819,1
859,8,7.25483102095,8,7.56963988344,Alfred Hitchcock,39.6556403333,1
860,3,6.81074390185,3,6.75670817976,Shana Feste,0.845642216667,3
861,3,7.74919215354,3,7.2592477784,Mike Binder,1.82144178333,3
862,1,5.06791143444,1,5.48557860672,Michael J. Bassett,0.87645785,1
863,1,7.78270816253,1,6.7271470269,Frank Nissen,0.9040813,1
864,2,7.07887197376,3,7.43661469557,Stephen Chow,0.452060325,2
865,1,5.36955551534,1,4.59874402088,Peter Hastings,0.485399885714,1
866,1,5.97284367713,1,6.19504627539,Paul Abascal,0.7856036,1
867,2,5.57065156927,2,5.70728725318,Chris Koch,2.69323220385,2
868,4,6.40017279174,4,6.46109665114,Amy Heckerling,1.83089473889,3
869,6,7.5480960996,6,7.51051757772,Michael Moore,17.4495099097,4
870,1,7.48106408163,1,6.90451394406,George Stevens,0.4,1
871,2,6.62640585241,2,6.99319740265,Billy Ray,0.367995833333,1
872,1,6.0733917041,1,6.37241319256,Mark Mylod,0.6993741,1
873,1,5.7717476232,1,6.46109665114,James Mather,0.7145785,1
874,2,6.62640585241,2,7.12622259052,Michael O. Sajbel,0.6695587,1
875,1,7.27996802769,1,4.86479439663,Charles T. Kanganis,0.5892,1
876,1,6.57613183893,1,6.46109665114,Damon Santostefano,0.52720715,1
877,4,6.22421374455,4,5.19735736632,Bob Clark,9.44611757037,3
878,1,5.36955551534,1,3.53454251787,Dave Borthwick,0.36914965,1
879,2,6.22421374455,2,5.79597071176,Glen Morgan,1.05769126768,2
880,5,7.42073526545,5,7.5785082293,Mike Leigh,0.355449485336,5
881,2,7.38051605466,2,7.61398161274,Alejandro Monteverde,1.38903024773,2
882,3,6.47558381196,3,6.8749527912,Jonathan Glazer,0.25029415,1
883,3,7.11238798275,3,7.2592477784,J.C. Chandor,0.837688191005,3
884,1,6.375035785,2,6.59412183902,Paul Gross,0.565302266667,1
885,1,7.27996802769,1,7.2592477784,Marc Abraham,0.211702,1
886,3,7.64864412657,3,7.37749238984,Todd Haynes,0.687249802778,2
887,1,4.56517129961,1,5.39689514814,Mabrouk El Mechri,0.18745305,1
888,1,7.68216013556,1,7.70266507132,Charlie Kaufman,0.146758333333,1
889,2,7.68216013556,2,7.70266507132,Katsuhiro Ôtomo,0.00029606660249,2
890,1,8.08435224342,1,6.54978010973,David Anspaugh,0.0187737,1
891,1,6.17393973107,1,5.92899589964,Daniel Algrant,0.00554418181818,1
892,2,6.27448775803,2,6.10636281681,Mark Rosman,1.6107345,2
893,1,7.48106408163,1,7.7913485299,Brian Percival,1.13069231579,1
894,3,7.04535596477,3,6.8749527912,Anand Tucker,0.0672830526316,2
895,2,6.9783239468,2,7.12622259052,Michael Dowse,0.30103873913,1
896,2,6.17393973107,2,6.37241319256,Daniel Barnz,1.63852329412,1
897,1,8.68764040522,1,6.10636281681,Emile Ardolino,0.111578631579,1
898,3,7.31348403668,3,7.08188086123,Robert Altman,1.39591750858,3
899,1,6.27448775803,1,6.37241319256,Andrew Douglas,3.38185489474,1
900,1,6.375035785,1,6.7271470269,Ricky Gervais,0.996707135135,1
901,1,5.87229565017,1,3.80059289363,Vic Armstrong,0.874892625,1
902,2,7.07887197376,2,7.48095642486,Terry Zwigoff,2.11117889286,2
903,1,7.78270816253,1,6.99319740265,Audrey Wells,2.422306,1
904,1,6.17393973107,1,5.75162898247,Rick Friedberg,1.49477994444,1
905,2,7.33024204118,2,6.81583048548,Sean McNamara,1.56521666667,2
906,1,5.4701035423,1,6.19504627539,Jody Hill,1.33297805556,1
907,1,5.7717476232,1,6.01767935822,Brandon Camp,1.27374388889,1
908,2,7.93353020297,2,5.66294552389,Kevin Tancharoen,1.28260797222,2
909,3,7.61512811758,3,6.84539163834,Nicholas Hytner,1.41597935926,3
910,2,5.97284367713,2,5.88465417035,Bart Freundlich,0.548998166667,2
911,1,6.6766798659,1,5.48557860672,William A. Fraker,0.444444444444,1
912,3,6.03987569511,3,6.13592396967,John Boorman,0.749536277778,1
913,2,5.21873347489,2,5.21952823097,Courtney Solomon,0.873586793651,2
914,1,7.98380421646,1,7.34793123698,István Szabó,0.429947166667,1
915,1,6.47558381196,1,6.99319740265,Matthew Robbins,0.333333333333,1
916,4,6.57613183893,4,7.43661469557,Jeff Nichols,0.903637685185,3
917,1,6.0733917041,1,7.34793123698,Jonathan Teplitzky,0.2463935,1
918,3,7.71567614455,3,7.61398161274,Michael Haneke,0.0989510583645,3
919,1,6.27448775803,1,6.28372973398,Mike Marvin,1.2962962963,1
920,2,5.4701035423,2,6.37241319256,Gregor Jordan,0.0235828666667,1
921,1,7.17942000073,1,6.99319740265,Christian Volckman,0.00451857142857,1
922,2,6.9783239468,2,6.90451394406,Rodrigo Cortés,0.342886,1
923,1,7.17942000073,1,6.81583048548,Cory Edwards,2.91735925714,1
924,1,8.48654435129,1,8.23476582282,Terry George,1.34130857143,1
925,2,6.42530979848,2,6.41675492185,Xavier Gens,0.830490166667,2
926,2,6.52585782545,3,6.28372973398,Kasi Lemmons,1.43561838333,2
927,1,6.57613183893,1,6.37241319256,Matt Dillon,0.0185994857143,1
928,1,7.68216013556,1,8.05739890565,George Cukor,4.23529411765,1
929,1,6.77722789286,1,5.5742620653,John Hoffman,2.20977823529,1
930,1,7.27996802769,2,6.19504627539,Kevin Greutert,2.39947196591,2
931,1,6.0733917041,1,6.54978010973,John Fortenberry,1.78382035294,1
932,1,7.07887197376,1,7.43661469557,Jason Moore,3.82343341176,1
933,2,5.87229565017,2,5.6186037946,Robert Harmon,1.11297642745,2
934,1,5.26900748837,1,3.80059289363,Trent Cooper,3.91391625,1
935,1,6.0733917041,1,6.81583048548,Fede Alvarez,3.19057976471,1
936,1,5.4701035423,1,4.24401018655,Sidney J. Furie,0.922412941176,1
937,2,6.9783239468,2,7.43661469557,Wayne Kramer,1.48972792647,2
938,2,6.92804993331,2,6.90451394406,Rowdy Herrington,1.76764870588,1
939,1,4.36407524568,1,3.71190943504,Jim Goddard,0.136216647059,1
940,1,7.38051605466,1,6.7271470269,Noel Marshall,0.117647058824,1
941,1,5.97284367713,1,6.90451394406,Andrea Di Stefano,0.00628641176471,1
942,1,4.36407524568,1,4.68742747947,Todd Lincoln,0.290046941176,1
943,2,7.33024204118,2,6.77148875619,Howard Zieff,5.30355278788,2
944,2,6.6766798659,2,7.08188086123,Steven Shainberg,0.512416946429,2
945,2,7.17942000073,2,7.34793123698,Julian Jarrold,1.13114612121,1
946,3,5.97284367713,3,6.07680166395,Joe Nussbaum,0.926509266919,3
947,2,7.22969401421,2,7.2592477784,Vadim Perelman,0.452481104167,2
948,1,6.87777591983,1,7.52529815415,Peter Farrelly,7.948459625,1
949,1,8.08435224342,1,8.14608236424,Michel Hazanavicius,2.97780633333,1
950,1,6.17393973107,1,5.84031244106,Cyrus Nowrasteh,0.349328432432,1
951,1,4.36407524568,1,3.97795981079,Perry Andelin Blake,2.522720625,1
952,1,5.57065156927,1,5.30821168955,Christian E. Christiansen,2.3312566875,1
953,1,5.7717476232,2,6.46109665114,Sheldon Lettich,1.2762229,2
954,1,7.17942000073,1,5.39689514814,Diane English,1.63010569697,1
955,2,5.72147360972,3,4.95347785522,Robert Iscove,2.67711405,3
956,1,7.78270816253,1,7.43661469557,Peter Kosminsky,1.021632625,1
957,1,6.9783239468,1,7.43661469557,Allen Coulter,1.191064,1
958,2,6.17393973107,2,6.28372973398,Clare Kilner,1.49373452083,2
959,1,7.98380421646,1,7.2592477784,Josef Rusnak,0.96875,1
960,1,7.07887197376,1,6.37241319256,Bruce Paltrow,0.315615666667,1
961,1,7.38051605466,2,6.81583048548,Adam Rifkin,0.279535,1
962,1,6.9783239468,1,7.43661469557,Susanne Bier,0.178071375,1
963,1,4.96736340747,1,3.53454251787,Kenneth Johnson,0.1054018125,1
964,7,7.19378400458,7,7.30992404045,James Ivory,2.09397900282,5
965,1,6.27448775803,1,4.95347785522,Jessy Terrero,0.8701381875,1
966,1,5.67119959624,1,6.54978010973,Vicente Amorim,0.0015394,1
967,2,7.07887197376,2,7.56963988344,Gaspar Noé,0.0258820769231,1
968,2,7.07887197376,2,7.30358950769,Tommy Lee Jones,0.24334509375,2
969,1,6.0733917041,1,5.0421613138,Jesse Vaughan,0.869988269231,1
970,1,6.77722789286,1,6.90451394406,Gérard Krawczyk,0.00532843137255,1
971,1,6.27448775803,1,7.08188086123,Udayan Prasad,0.0204541935484,1
972,1,8.18490027039,2,8.01305717636,Morten Tyldum,3.27408595427,2
973,1,6.27448775803,1,6.54978010973,Andrés Muschietti,3.579411,1
974,2,7.43079006814,2,7.2592477784,Gillian Armstrong,1.71392319792,2
975,2,6.6766798659,2,6.90451394406,James Watkins,3.19542782353,1
